network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,Number of Attractors,Number of Fixed Points,Number of Limit Cycles,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Transient Length Variance,Transient Length Skewness,Garden of Eden Count,Common Sea Count,Specific Part Count,Avg Pre-image Count,Max Pre-image Count,Avg Hamming Distance per Transition,Average Sensitivity,Derrida Coefficient,Attractor Components,Attractor_Type
34,5,4,17,"A→A,A⊣B,B⊣A",AA,AND,AND,A' = A & !B,B' = !A,2,2,0,1.0,1,1.0,2.0,3,1.0,0.0,0.75,2,0.6875,0.4933822002181585,1,0,2,1.0,2,0.75,1.0,0.875,01; 10,Complex Composite
35,5,4,17,"A→A,A⊣B,B⊣A",OA,AND,OR,A' = A | !B,B' = !A,2,2,0,1.0,1,1.0,2.0,3,1.0,0.0,0.75,2,0.6875,0.4933822002181586,1,0,2,1.0,2,0.75,1.0,0.875,10; 01,Complex Composite
36,5,5,18,"A⊣A,A→B,B→A",AA,AND,AND,A' = !A & B,B' = A,2,1,1,1.5,2,1.0,2.0,3,1.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.25,1.0,0.875,"00; [01,10]",Hybrid Multimodal
37,5,5,18,"A⊣A,A→B,B→A",OA,AND,OR,A' = !A | B,B' = A,2,1,1,1.5,2,1.0,2.0,3,1.0,0.0,0.25,1,0.1875,1.154700538379252,1,0,2,1.0,2,1.25,1.0,0.875,"[01,10]; 11",Hybrid Multimodal
38,5,6,19,"A⊣A,A→B,B⊣A",AA,AND,AND,A' = !A & !B,B' = A,1,0,1,3.0,3,1.0,4.0,4,0.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.25,1.0,0.875,"[00,01,10]",Pure Oscillatory
39,5,6,19,"A⊣A,A→B,B⊣A",OA,AND,OR,A' = !A | !B,B' = A,1,0,1,3.0,3,1.0,4.0,4,0.0,0.0,0.25,1,0.1875,1.154700538379252,1,0,2,1.0,2,1.25,1.0,0.875,"[01,10,11]",Pure Oscillatory
40,5,7,20,"A⊣A,A⊣B,B→A",AA,AND,AND,A' = !A & B,B' = !A,1,0,1,3.0,3,1.0,4.0,4,0.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.25,1.0,0.875,"[00,01,11]",Pure Oscillatory
41,5,7,20,"A⊣A,A⊣B,B→A",OA,AND,OR,A' = !A | B,B' = !A,1,0,1,3.0,3,1.0,4.0,4,0.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.25,1.0,0.875,"[00,10,11]",Pure Oscillatory
42,5,8,21,"A⊣A,A⊣B,B⊣A",AA,AND,AND,A' = !A & !B,B' = !A,2,1,1,1.5,2,1.0,2.0,3,1.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.25,1.0,0.875,"[00,11]; 01",Hybrid Multimodal
43,5,8,21,"A⊣A,A⊣B,B⊣A",OA,AND,OR,A' = !A | !B,B' = !A,2,1,1,1.5,2,1.0,2.0,3,1.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,1.25,1.0,0.875,"[00,11]; 10",Hybrid Multimodal
44,6,1,22,"A→A,B→B,A→B",AA,AND,AND,A' = A & B,B' = B,3,3,0,1.0,1,1.0,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,0.25,1.0,0.875,00; 01; 11,Complex Composite
45,6,1,22,"A→A,B→B,A→B",OA,AND,OR,A' = A | B,B' = B,3,3,0,1.0,1,1.0,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.25,1,0.1875,1.154700538379252,1,0,2,1.0,2,0.25,1.0,0.875,00; 11; 10,Complex Composite
46,6,2,23,"A→A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = B,3,3,0,1.0,1,1.0,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,0.25,1.0,0.875,00; 01; 10,Complex Composite
47,6,2,23,"A→A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = B,3,3,0,1.0,1,1.0,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.25,1,0.1875,1.154700538379252,1,0,2,1.0,2,0.25,1.0,0.875,10; 01; 11,Complex Composite
48,6,3,24,"A→A,B⊣B,A→B",AA,AND,AND,A' = A & B,B' = !B,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.75,2,0.6875,0.4933822002181585,1,1,1,1.0,2,1.25,1.0,0.875,"[00,01]",Pure Oscillatory
49,6,3,24,"A→A,B⊣B,A→B",OA,AND,OR,A' = A | B,B' = !B,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.75,2,0.6875,0.4933822002181586,1,1,1,1.0,2,1.25,1.0,0.875,"[10,11]",Pure Oscillatory
50,6,4,25,"A→A,B⊣B,A⊣B",AA,AND,AND,A' = !A & !B,B' = B,2,1,1,1.5,2,1.0,2.0,2,0.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,0.75,1.0,0.875,"[00,10]; 01",Hybrid Multimodal
51,6,4,25,"A→A,B⊣B,A⊣B",OA,AND,OR,A' = !A | !B,B' = B,2,1,1,1.5,2,1.0,2.0,2,0.0,0.0,0.25,1,0.1875,1.154700538379252,1,0,2,1.0,2,0.75,1.0,0.875,"10; [01,11]",Hybrid Multimodal
52,6,5,26,"A⊣A,B→B,A→B",AA,AND,AND,A' = !A & B,B' = B,2,1,1,1.5,2,1.0,2.0,2,0.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,0.75,1.0,0.875,"00; [01,11]",Hybrid Multimodal
53,6,5,26,"A⊣A,B→B,A→B",OA,AND,OR,A' = !A | B,B' = B,2,1,1,1.5,2,1.0,2.0,2,0.0,0.0,0.25,1,0.1875,1.1547005383792517,1,0,2,1.0,2,0.75,1.0,0.875,"[00,10]; 11",Hybrid Multimodal
54,6,6,27,"A⊣A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = !B,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.75,2,0.6875,0.4933822002181585,1,1,1,1.0,2,1.25,1.0,0.875,"[00,01]",Pure Oscillatory
55,6,6,27,"A⊣A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = !B,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.75,2,0.6875,0.4933822002181585,1,1,1,1.0,2,1.25,1.0,0.875,"[10,11]",Pure Oscillatory
56,6,7,28,"A⊣A,B⊣B,A→B",AA,AND,AND,A' = !A & B,B' = !B,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.75,2,0.6875,0.4933822002181585,1,0,2,1.0,2,1.75,1.0,0.875,"[01,10]",Pure Oscillatory
57,6,7,28,"A⊣A,B⊣B,A→B",OA,AND,OR,A' = !A | B,B' = !B,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.75,2,0.6875,0.4933822002181586,1,0,2,1.0,2,1.75,1.0,0.875,"[01,10]",Pure Oscillatory
58,6,8,29,"A⊣A,B⊣B,A⊣B",AA,AND,AND,A' = !A & !B,B' = !B,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.75,2,0.6875,0.4933822002181585,1,0,2,1.0,2,1.75,1.0,0.875,"[00,11]",Pure Oscillatory
59,6,8,29,"A⊣A,B⊣B,A⊣B",OA,AND,OR,A' = !A | !B,B' = !B,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.75,2,0.6875,0.4933822002181585,1,0,2,1.0,2,1.75,1.0,0.875,"[00,11]",Pure Oscillatory
