network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,edge_AA,edge_AB,edge_BA,edge_BB,start_state,A_update_only,B_update_only
32,5,3,16,"A→A,A⊣B,B→A",AA,AND,AND,A' = A & B,B' = !A,1,-1,1,0,00,00,01
32,5,3,16,"A→A,A⊣B,B→A",AA,AND,AND,A' = A & B,B' = !A,1,-1,1,0,01,01,01
32,5,3,16,"A→A,A⊣B,B→A",AA,AND,AND,A' = A & B,B' = !A,1,-1,1,0,10,00,10
32,5,3,16,"A→A,A⊣B,B→A",AA,AND,AND,A' = A & B,B' = !A,1,-1,1,0,11,11,10
33,5,3,16,"A→A,A⊣B,B→A",OA,AND,OR,A' = A | B,B' = !A,1,-1,1,0,00,00,01
33,5,3,16,"A→A,A⊣B,B→A",OA,AND,OR,A' = A | B,B' = !A,1,-1,1,0,01,11,01
33,5,3,16,"A→A,A⊣B,B→A",OA,AND,OR,A' = A | B,B' = !A,1,-1,1,0,10,10,10
33,5,3,16,"A→A,A⊣B,B→A",OA,AND,OR,A' = A | B,B' = !A,1,-1,1,0,11,11,10
34,5,4,17,"A→A,A⊣B,B⊣A",AA,AND,AND,A' = A & !B,B' = !A,1,-1,-1,0,00,00,01
34,5,4,17,"A→A,A⊣B,B⊣A",AA,AND,AND,A' = A & !B,B' = !A,1,-1,-1,0,01,01,01
34,5,4,17,"A→A,A⊣B,B⊣A",AA,AND,AND,A' = A & !B,B' = !A,1,-1,-1,0,10,10,10
34,5,4,17,"A→A,A⊣B,B⊣A",AA,AND,AND,A' = A & !B,B' = !A,1,-1,-1,0,11,01,10
35,5,4,17,"A→A,A⊣B,B⊣A",OA,AND,OR,A' = A | !B,B' = !A,1,-1,-1,0,00,10,01
35,5,4,17,"A→A,A⊣B,B⊣A",OA,AND,OR,A' = A | !B,B' = !A,1,-1,-1,0,01,01,01
35,5,4,17,"A→A,A⊣B,B⊣A",OA,AND,OR,A' = A | !B,B' = !A,1,-1,-1,0,10,10,10
35,5,4,17,"A→A,A⊣B,B⊣A",OA,AND,OR,A' = A | !B,B' = !A,1,-1,-1,0,11,11,10
36,5,5,18,"A⊣A,A→B,B→A",AA,AND,AND,A' = !A & B,B' = A,-1,1,1,0,00,00,00
36,5,5,18,"A⊣A,A→B,B→A",AA,AND,AND,A' = !A & B,B' = A,-1,1,1,0,01,11,00
36,5,5,18,"A⊣A,A→B,B→A",AA,AND,AND,A' = !A & B,B' = A,-1,1,1,0,10,00,11
36,5,5,18,"A⊣A,A→B,B→A",AA,AND,AND,A' = !A & B,B' = A,-1,1,1,0,11,01,11
37,5,5,18,"A⊣A,A→B,B→A",OA,AND,OR,A' = !A | B,B' = A,-1,1,1,0,00,10,00
37,5,5,18,"A⊣A,A→B,B→A",OA,AND,OR,A' = !A | B,B' = A,-1,1,1,0,01,11,00
37,5,5,18,"A⊣A,A→B,B→A",OA,AND,OR,A' = !A | B,B' = A,-1,1,1,0,10,00,11
37,5,5,18,"A⊣A,A→B,B→A",OA,AND,OR,A' = !A | B,B' = A,-1,1,1,0,11,11,11
38,5,6,19,"A⊣A,A→B,B⊣A",AA,AND,AND,A' = !A & !B,B' = A,-1,1,-1,0,00,10,00
38,5,6,19,"A⊣A,A→B,B⊣A",AA,AND,AND,A' = !A & !B,B' = A,-1,1,-1,0,01,01,00
38,5,6,19,"A⊣A,A→B,B⊣A",AA,AND,AND,A' = !A & !B,B' = A,-1,1,-1,0,10,00,11
38,5,6,19,"A⊣A,A→B,B⊣A",AA,AND,AND,A' = !A & !B,B' = A,-1,1,-1,0,11,01,11
39,5,6,19,"A⊣A,A→B,B⊣A",OA,AND,OR,A' = !A | !B,B' = A,-1,1,-1,0,00,10,00
39,5,6,19,"A⊣A,A→B,B⊣A",OA,AND,OR,A' = !A | !B,B' = A,-1,1,-1,0,01,11,00
