network_id,Number of Edges,Density,Strongly Connected,Number of SCCs,Largest SCC Size,Avg In-Degree,Avg Out-Degree,Max In-Degree,Max Out-Degree,Has Cycle,Number of Cycles,Number of Limit Cycles,Max Cycle Length,Avg Cycle Length,Shannon Entropy (Out-degree),Shannon Entropy (In-degree),Transition Entropy,Basin Entropy,Spectral Radius,Algebraic Connectivity,Number of Attractors,Number of Fixed Points,Has Fixed Point Attractor,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Diameter,Average Shortest Path Length,Garden of Eden Count,Common Sea Count,Specific Part Count,Derrida Coefficient,Average Sensitivity
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.9999999999999997,0.0,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.9999999999999997,0.0,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25
27,0.5,0.49999999999999983,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23262290680731132,-1.0,0.7059939035806213,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,-1.0,0.5,-0.5,-0.25,-0.25
28,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4377461450605018,1.0889736868180786,0.0,-1.5700924586837762e-16,1.0,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,1.125,0.0,0.0,0.0,-1.0,-0.9523809523809526,1.0,-0.5,0.5,0.0,0.0
29,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4377461450605018,1.0889736868180786,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,1.125,0.0,0.0,0.0,-1.0,-0.9523809523809526,1.0,-0.5,0.5,0.0,0.0
30,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.05722018388784843,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,1.2698412698412695,0.0,0.5,-0.5,0.0,0.0
31,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.05722018388784843,-0.0,0.0,-1.5700924586837762e-16,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,1.2698412698412695,0.0,0.5,-0.5,0.0,0.0
32,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.05722018388784843,-0.0,0.0,-1.5700924586837762e-16,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,1.2698412698412695,0.0,0.5,-0.5,0.0,0.0
33,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.05722018388784843,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,1.2698412698412695,0.0,0.5,-0.5,0.0,0.0
34,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4377461450605018,1.0889736868180786,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,1.125,0.0,0.0,0.0,-1.0,-0.9523809523809526,1.0,-0.5,0.5,0.0,0.0
35,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4377461450605018,1.0889736868180786,0.0,-1.5700924586837762e-16,1.0,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,1.125,0.0,0.0,0.0,-1.0,-0.9523809523809526,1.0,-0.5,0.5,0.0,0.0
36,0.5,0.49999999999999983,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23262290680731132,0.7259824578787191,-0.16382149658327588,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0
37,0.5,0.49999999999999983,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23262290680731132,0.7259824578787191,-0.16382149658327588,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0
38,0.0,0.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,-1.0,1.0437784801966772,-0.0,0.2720196495140701,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,1.8253968253968245,-1.0,-0.5,0.5,0.0,0.0
