network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,Number of Nodes,Number of Edges,Density,Strongly Connected,Number of SCCs,Largest SCC Size,Avg In-Degree,Avg Out-Degree,Max In-Degree,Max Out-Degree,Has Cycle,Number of Cycles,Number of Limit Cycles,Max Cycle Length,Avg Cycle Length,Shannon Entropy (Out-degree),Shannon Entropy (In-degree),Transition Entropy,Basin Entropy,Spectral Radius,Algebraic Connectivity,Number of Attractors,Number of Fixed Points,Has Fixed Point Attractor,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Diameter,Average Shortest Path Length,Garden of Eden Count,Common Sea Count,Specific Part Count,Backward Boolean Equivalence,Derrida Coefficient,Average Sensitivity,Fixed Point Attractors,Cycle or Trap Components,Attractor Components,Basin Sizes,Attractor_Type
36,5,5,18,"A⊣A,A→B,B→A",AA,AND,AND,A' = !A & B,B' = A,4,6,0.5,0,3,2,1.5,1.5,3,2,0,0,0,0,0.0,1.0,2.0,1.4591479170272448,-0.0,1.0,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.2857142857142858,1,2,0,0,1.0,1.0,00,None,00,4,Single fixed point
37,5,5,18,"A⊣A,A→B,B→A",OA,AND,OR,A' = !A | B,B' = A,4,6,0.5,0,3,2,1.5,1.5,3,2,0,0,0,0,0.0,1.0,2.0,1.4591479170272448,-0.0,1.0,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.2857142857142858,1,2,0,0,1.0,1.0,11,None,11,4,Single fixed point
38,5,6,19,"A⊣A,A→B,B⊣A",AA,AND,AND,A' = !A & !B,B' = A,4,5,0.4166666666666667,1,1,4,1.25,1.25,2,2,1,1,1,4,4.0,0.8112781244591328,0.8112781244591328,1.9219280948873623,-0.0,1.27201964951407,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.8333333333333333,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
39,5,6,19,"A⊣A,A→B,B⊣A",OA,AND,OR,A' = !A | !B,B' = A,4,5,0.4166666666666667,1,1,4,1.25,1.25,2,2,1,1,1,4,4.0,0.8112781244591328,0.8112781244591328,1.9219280948873623,-0.0,1.2720196495140699,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.8333333333333333,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
40,5,7,20,"A⊣A,A⊣B,B→A",AA,AND,AND,A' = !A & B,B' = !A,4,5,0.4166666666666667,1,1,4,1.25,1.25,2,2,1,1,1,4,4.0,0.8112781244591328,0.8112781244591328,1.9219280948873623,-0.0,1.2720196495140692,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.8333333333333333,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
41,5,7,20,"A⊣A,A⊣B,B→A",OA,AND,OR,A' = !A | B,B' = !A,4,5,0.4166666666666667,1,1,4,1.25,1.25,2,2,1,1,1,4,4.0,0.8112781244591328,0.8112781244591328,1.9219280948873623,-0.0,1.272019649514069,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.8333333333333333,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
42,5,8,21,"A⊣A,A⊣B,B⊣A",AA,AND,AND,A' = !A & !B,B' = !A,4,6,0.5,0,3,2,1.5,1.5,3,2,0,0,0,0,0.0,1.0,2.0,1.4591479170272448,-0.0,1.0,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.2857142857142858,1,2,0,0,1.0,1.0,01,None,01,4,Single fixed point
43,5,8,21,"A⊣A,A⊣B,B⊣A",OA,AND,OR,A' = !A | !B,B' = !A,4,6,0.5,0,3,2,1.5,1.5,3,2,0,0,0,0,0.0,1.0,2.0,1.4591479170272448,-0.0,1.0,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.2857142857142858,1,2,0,0,1.0,1.0,10,None,10,4,Single fixed point
44,6,1,22,"A→A,B→B,A→B",AA,AND,AND,A' = A & B,B' = B,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.5,1.5,0.9182958340544896,1.0,0.0,3,3,1,1.0,1,0.75,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.25,1,1,1.0,1,0,2,0,1.0,1.0,00; 01; 11,None,00; 01; 11,2; 1; 1,Multi-attractor fixed-point
45,6,1,22,"A→A,B→B,A→B",OA,AND,OR,A' = A | B,B' = B,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.5,1.5,0.9182958340544896,1.0,0.0,3,3,1,1.0,1,0.75,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.25,1,1,1.0,1,0,2,0,1.0,1.0,00; 10; 11,None,00; 10; 11,1; 1; 2,Multi-attractor fixed-point
46,6,2,23,"A→A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = B,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.5,1.5,0.9182958340544896,1.0,0.0,3,3,1,1.0,1,0.75,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.25,1,1,1.0,1,0,2,0,1.0,1.0,00; 01; 10,None,00; 01; 10,1; 2; 1,Multi-attractor fixed-point
47,6,2,23,"A→A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = B,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.5,1.5,0.9182958340544896,1.0,0.0,3,3,1,1.0,1,0.75,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.25,1,1,1.0,1,0,2,0,1.0,1.0,01; 10; 11,None,01; 10; 11,1; 2; 1,Multi-attractor fixed-point
48,6,3,24,"A→A,B⊣B,A→B",AA,AND,AND,A' = A & B,B' = !B,4,5,0.4166666666666667,0,2,2,1.25,1.25,2,2,1,1,1,2,2.0,0.8112781244591328,0.8112781244591328,1.9219280948873623,-0.0,1.0000000180341544,0.5857864376269047,1,0,0,2.0,2,0.5,4.0,4,0.0,0.0,0.75,2,3,1.5,0,1,1,0,1.0,1.0,None,"{00,01}","{00,01}",4,Cyclic / trap dominated
49,6,3,24,"A→A,B⊣B,A→B",OA,AND,OR,A' = A | B,B' = !B,4,5,0.4166666666666667,0,2,2,1.25,1.25,2,2,1,1,1,2,2.0,0.8112781244591328,0.8112781244591328,1.9219280948873623,-0.0,1.0,0.585786437626905,1,0,0,2.0,2,0.5,4.0,4,0.0,0.0,0.75,2,3,1.5,0,1,1,0,1.0,1.0,None,"{10,11}","{10,11}",4,Cyclic / trap dominated
50,6,4,25,"A→A,B⊣B,A⊣B",AA,AND,AND,A' = !A & !B,B' = B,4,4,0.3333333333333333,0,3,2,1.0,1.0,2,1,1,1,1,2,2.0,-0.0,1.5,1.5,-0.0,1.0,0.0,2,1,1,1.5,2,0.75,2.0,2,0.0,0.0,0.25,1,1,1.0,1,0,2,0,1.0,1.0,01,"{00,10}","01; {00,10}",2; 2,Mixed fixed + trap
51,6,4,25,"A→A,B⊣B,A⊣B",OA,AND,OR,A' = !A | !B,B' = B,4,4,0.3333333333333333,0,3,2,1.0,1.0,2,1,1,1,1,2,2.0,-0.0,1.5,1.5,-0.0,1.0,0.0,2,1,1,1.5,2,0.75,2.0,2,0.0,0.0,0.25,1,1,1.0,1,0,2,0,1.0,1.0,10,"{01,11}","10; {01,11}",2; 2,Mixed fixed + trap
52,6,5,26,"A⊣A,B→B,A→B",AA,AND,AND,A' = !A & B,B' = B,4,4,0.3333333333333333,0,3,2,1.0,1.0,2,1,1,1,1,2,2.0,-0.0,1.5,1.5,-0.0,1.0,0.0,2,1,1,1.5,2,0.75,2.0,2,0.0,0.0,0.25,1,1,1.0,1,0,2,0,1.0,1.0,00,"{01,11}","00; {01,11}",2; 2,Mixed fixed + trap
53,6,5,26,"A⊣A,B→B,A→B",OA,AND,OR,A' = !A | B,B' = B,4,4,0.3333333333333333,0,3,2,1.0,1.0,2,1,1,1,1,2,2.0,-0.0,1.5,1.5,-0.0,1.0,0.0,2,1,1,1.5,2,0.75,2.0,2,0.0,0.0,0.25,1,1,1.0,1,0,2,0,1.0,1.0,11,"{00,10}","11; {00,10}",2; 2,Mixed fixed + trap
54,6,6,27,"A⊣A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = !B,4,5,0.4166666666666667,0,2,2,1.25,1.25,2,2,1,1,1,2,2.0,0.8112781244591328,0.8112781244591328,1.9219280948873623,-0.0,1.000000005980833,0.585786437626905,1,0,0,2.0,2,0.5,4.0,4,0.0,0.0,0.75,2,3,1.5,0,1,1,0,1.0,1.0,None,"{00,01}","{00,01}",4,Cyclic / trap dominated
55,6,6,27,"A⊣A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = !B,4,5,0.4166666666666667,0,2,2,1.25,1.25,2,2,1,1,1,2,2.0,0.8112781244591328,0.8112781244591328,1.9219280948873623,-0.0,1.0,0.5857864376269047,1,0,0,2.0,2,0.5,4.0,4,0.0,0.0,0.75,2,3,1.5,0,1,1,0,1.0,1.0,None,"{10,11}","{10,11}",4,Cyclic / trap dominated
56,6,7,28,"A⊣A,B⊣B,A→B",AA,AND,AND,A' = !A & B,B' = !B,4,7,0.5833333333333334,1,1,4,1.75,1.75,2,2,1,1,1,4,4.0,0.8112781244591328,0.8112781244591328,1.9502120649147467,-0.0,1.7320508075688774,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.5,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
