network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,rule_A,rule_B,from_state,to_state,update_scheme,selected_node,is_self_loop
28,5,1,14,"A→A,A→B,B→A",AA,A' = A & B,B' = A,11,11,sync,A+B,1
29,5,1,14,"A→A,A→B,B→A",OA,A' = A | B,B' = A,00,00,sync,A+B,1
29,5,1,14,"A→A,A→B,B→A",OA,A' = A | B,B' = A,01,10,sync,A+B,0
29,5,1,14,"A→A,A→B,B→A",OA,A' = A | B,B' = A,10,11,sync,A+B,0
29,5,1,14,"A→A,A→B,B→A",OA,A' = A | B,B' = A,11,11,sync,A+B,1
30,5,2,15,"A→A,A→B,B⊣A",AA,A' = A & !B,B' = A,00,00,sync,A+B,1
30,5,2,15,"A→A,A→B,B⊣A",AA,A' = A & !B,B' = A,01,00,sync,A+B,0
30,5,2,15,"A→A,A→B,B⊣A",AA,A' = A & !B,B' = A,10,11,sync,A+B,0
30,5,2,15,"A→A,A→B,B⊣A",AA,A' = A & !B,B' = A,11,01,sync,A+B,0
31,5,2,15,"A→A,A→B,B⊣A",OA,A' = A | !B,B' = A,00,10,sync,A+B,0
31,5,2,15,"A→A,A→B,B⊣A",OA,A' = A | !B,B' = A,01,00,sync,A+B,0
31,5,2,15,"A→A,A→B,B⊣A",OA,A' = A | !B,B' = A,10,11,sync,A+B,0
31,5,2,15,"A→A,A→B,B⊣A",OA,A' = A | !B,B' = A,11,11,sync,A+B,1
32,5,3,16,"A→A,A⊣B,B→A",AA,A' = A & B,B' = !A,00,01,sync,A+B,0
32,5,3,16,"A→A,A⊣B,B→A",AA,A' = A & B,B' = !A,01,01,sync,A+B,1
32,5,3,16,"A→A,A⊣B,B→A",AA,A' = A & B,B' = !A,10,00,sync,A+B,0
32,5,3,16,"A→A,A⊣B,B→A",AA,A' = A & B,B' = !A,11,10,sync,A+B,0
33,5,3,16,"A→A,A⊣B,B→A",OA,A' = A | B,B' = !A,00,01,sync,A+B,0
33,5,3,16,"A→A,A⊣B,B→A",OA,A' = A | B,B' = !A,01,11,sync,A+B,0
33,5,3,16,"A→A,A⊣B,B→A",OA,A' = A | B,B' = !A,10,10,sync,A+B,1
33,5,3,16,"A→A,A⊣B,B→A",OA,A' = A | B,B' = !A,11,10,sync,A+B,0
34,5,4,17,"A→A,A⊣B,B⊣A",AA,A' = A & !B,B' = !A,00,01,sync,A+B,0
34,5,4,17,"A→A,A⊣B,B⊣A",AA,A' = A & !B,B' = !A,01,01,sync,A+B,1
34,5,4,17,"A→A,A⊣B,B⊣A",AA,A' = A & !B,B' = !A,10,10,sync,A+B,1
34,5,4,17,"A→A,A⊣B,B⊣A",AA,A' = A & !B,B' = !A,11,00,sync,A+B,0
35,5,4,17,"A→A,A⊣B,B⊣A",OA,A' = A | !B,B' = !A,00,11,sync,A+B,0
35,5,4,17,"A→A,A⊣B,B⊣A",OA,A' = A | !B,B' = !A,01,01,sync,A+B,1
35,5,4,17,"A→A,A⊣B,B⊣A",OA,A' = A | !B,B' = !A,10,10,sync,A+B,1
35,5,4,17,"A→A,A⊣B,B⊣A",OA,A' = A | !B,B' = !A,11,10,sync,A+B,0
36,5,5,18,"A⊣A,A→B,B→A",AA,A' = !A & B,B' = A,00,00,sync,A+B,1
36,5,5,18,"A⊣A,A→B,B→A",AA,A' = !A & B,B' = A,01,10,sync,A+B,0
36,5,5,18,"A⊣A,A→B,B→A",AA,A' = !A & B,B' = A,10,01,sync,A+B,0
36,5,5,18,"A⊣A,A→B,B→A",AA,A' = !A & B,B' = A,11,01,sync,A+B,0
37,5,5,18,"A⊣A,A→B,B→A",OA,A' = !A | B,B' = A,00,10,sync,A+B,0
37,5,5,18,"A⊣A,A→B,B→A",OA,A' = !A | B,B' = A,01,10,sync,A+B,0
37,5,5,18,"A⊣A,A→B,B→A",OA,A' = !A | B,B' = A,10,01,sync,A+B,0
37,5,5,18,"A⊣A,A→B,B→A",OA,A' = !A | B,B' = A,11,11,sync,A+B,1
38,5,6,19,"A⊣A,A→B,B⊣A",AA,A' = !A & !B,B' = A,00,10,sync,A+B,0
38,5,6,19,"A⊣A,A→B,B⊣A",AA,A' = !A & !B,B' = A,01,00,sync,A+B,0
38,5,6,19,"A⊣A,A→B,B⊣A",AA,A' = !A & !B,B' = A,10,01,sync,A+B,0
38,5,6,19,"A⊣A,A→B,B⊣A",AA,A' = !A & !B,B' = A,11,01,sync,A+B,0
39,5,6,19,"A⊣A,A→B,B⊣A",OA,A' = !A | !B,B' = A,00,10,sync,A+B,0
39,5,6,19,"A⊣A,A→B,B⊣A",OA,A' = !A | !B,B' = A,01,10,sync,A+B,0
39,5,6,19,"A⊣A,A→B,B⊣A",OA,A' = !A | !B,B' = A,10,11,sync,A+B,0
39,5,6,19,"A⊣A,A→B,B⊣A",OA,A' = !A | !B,B' = A,11,01,sync,A+B,0
40,5,7,20,"A⊣A,A⊣B,B→A",AA,A' = !A & B,B' = !A,00,01,sync,A+B,0
40,5,7,20,"A⊣A,A⊣B,B→A",AA,A' = !A & B,B' = !A,01,11,sync,A+B,0
40,5,7,20,"A⊣A,A⊣B,B→A",AA,A' = !A & B,B' = !A,10,00,sync,A+B,0
40,5,7,20,"A⊣A,A⊣B,B→A",AA,A' = !A & B,B' = !A,11,00,sync,A+B,0
41,5,7,20,"A⊣A,A⊣B,B→A",OA,A' = !A | B,B' = !A,00,11,sync,A+B,0
41,5,7,20,"A⊣A,A⊣B,B→A",OA,A' = !A | B,B' = !A,01,11,sync,A+B,0
41,5,7,20,"A⊣A,A⊣B,B→A",OA,A' = !A | B,B' = !A,10,00,sync,A+B,0
41,5,7,20,"A⊣A,A⊣B,B→A",OA,A' = !A | B,B' = !A,11,10,sync,A+B,0
42,5,8,21,"A⊣A,A⊣B,B⊣A",AA,A' = !A & !B,B' = !A,00,11,sync,A+B,0
42,5,8,21,"A⊣A,A⊣B,B⊣A",AA,A' = !A & !B,B' = !A,01,01,sync,A+B,1
42,5,8,21,"A⊣A,A⊣B,B⊣A",AA,A' = !A & !B,B' = !A,10,00,sync,A+B,0
42,5,8,21,"A⊣A,A⊣B,B⊣A",AA,A' = !A & !B,B' = !A,11,00,sync,A+B,0
43,5,8,21,"A⊣A,A⊣B,B⊣A",OA,A' = !A | !B,B' = !A,00,11,sync,A+B,0
43,5,8,21,"A⊣A,A⊣B,B⊣A",OA,A' = !A | !B,B' = !A,01,11,sync,A+B,0
43,5,8,21,"A⊣A,A⊣B,B⊣A",OA,A' = !A | !B,B' = !A,10,10,sync,A+B,1
43,5,8,21,"A⊣A,A⊣B,B⊣A",OA,A' = !A | !B,B' = !A,11,00,sync,A+B,0
44,6,1,22,"A→A,B→B,A→B",AA,A' = A & B,B' = B,00,00,sync,A+B,1
44,6,1,22,"A→A,B→B,A→B",AA,A' = A & B,B' = B,01,01,sync,A+B,1
44,6,1,22,"A→A,B→B,A→B",AA,A' = A & B,B' = B,10,00,sync,A+B,0
44,6,1,22,"A→A,B→B,A→B",AA,A' = A & B,B' = B,11,11,sync,A+B,1
45,6,1,22,"A→A,B→B,A→B",OA,A' = A | B,B' = B,00,00,sync,A+B,1
45,6,1,22,"A→A,B→B,A→B",OA,A' = A | B,B' = B,01,11,sync,A+B,0
45,6,1,22,"A→A,B→B,A→B",OA,A' = A | B,B' = B,10,10,sync,A+B,1
45,6,1,22,"A→A,B→B,A→B",OA,A' = A | B,B' = B,11,11,sync,A+B,1
46,6,2,23,"A→A,B→B,A⊣B",AA,A' = A & !B,B' = B,00,00,sync,A+B,1
46,6,2,23,"A→A,B→B,A⊣B",AA,A' = A & !B,B' = B,01,01,sync,A+B,1
46,6,2,23,"A→A,B→B,A⊣B",AA,A' = A & !B,B' = B,10,10,sync,A+B,1
46,6,2,23,"A→A,B→B,A⊣B",AA,A' = A & !B,B' = B,11,01,sync,A+B,0
47,6,2,23,"A→A,B→B,A⊣B",OA,A' = A | !B,B' = B,00,10,sync,A+B,0
47,6,2,23,"A→A,B→B,A⊣B",OA,A' = A | !B,B' = B,01,01,sync,A+B,1
47,6,2,23,"A→A,B→B,A⊣B",OA,A' = A | !B,B' = B,10,10,sync,A+B,1
47,6,2,23,"A→A,B→B,A⊣B",OA,A' = A | !B,B' = B,11,11,sync,A+B,1
48,6,3,24,"A→A,B⊣B,A→B",AA,A' = A & B,B' = !B,00,01,sync,A+B,0
48,6,3,24,"A→A,B⊣B,A→B",AA,A' = A & B,B' = !B,01,00,sync,A+B,0
48,6,3,24,"A→A,B⊣B,A→B",AA,A' = A & B,B' = !B,10,01,sync,A+B,0
48,6,3,24,"A→A,B⊣B,A→B",AA,A' = A & B,B' = !B,11,10,sync,A+B,0
49,6,3,24,"A→A,B⊣B,A→B",OA,A' = A | B,B' = !B,00,01,sync,A+B,0
49,6,3,24,"A→A,B⊣B,A→B",OA,A' = A | B,B' = !B,01,10,sync,A+B,0
49,6,3,24,"A→A,B⊣B,A→B",OA,A' = A | B,B' = !B,10,11,sync,A+B,0
49,6,3,24,"A→A,B⊣B,A→B",OA,A' = A | B,B' = !B,11,10,sync,A+B,0
50,6,4,25,"A→A,B⊣B,A⊣B",AA,A' = !A & !B,B' = B,00,10,sync,A+B,0
50,6,4,25,"A→A,B⊣B,A⊣B",AA,A' = !A & !B,B' = B,01,01,sync,A+B,1
50,6,4,25,"A→A,B⊣B,A⊣B",AA,A' = !A & !B,B' = B,10,00,sync,A+B,0
50,6,4,25,"A→A,B⊣B,A⊣B",AA,A' = !A & !B,B' = B,11,01,sync,A+B,0
51,6,4,25,"A→A,B⊣B,A⊣B",OA,A' = !A | !B,B' = B,00,10,sync,A+B,0
51,6,4,25,"A→A,B⊣B,A⊣B",OA,A' = !A | !B,B' = B,01,11,sync,A+B,0
51,6,4,25,"A→A,B⊣B,A⊣B",OA,A' = !A | !B,B' = B,10,10,sync,A+B,1
51,6,4,25,"A→A,B⊣B,A⊣B",OA,A' = !A | !B,B' = B,11,01,sync,A+B,0
52,6,5,26,"A⊣A,B→B,A→B",AA,A' = !A & B,B' = B,00,00,sync,A+B,1
52,6,5,26,"A⊣A,B→B,A→B",AA,A' = !A & B,B' = B,01,11,sync,A+B,0
52,6,5,26,"A⊣A,B→B,A→B",AA,A' = !A & B,B' = B,10,00,sync,A+B,0
52,6,5,26,"A⊣A,B→B,A→B",AA,A' = !A & B,B' = B,11,01,sync,A+B,0
53,6,5,26,"A⊣A,B→B,A→B",OA,A' = !A | B,B' = B,00,10,sync,A+B,0
53,6,5,26,"A⊣A,B→B,A→B",OA,A' = !A | B,B' = B,01,11,sync,A+B,0
53,6,5,26,"A⊣A,B→B,A→B",OA,A' = !A | B,B' = B,10,00,sync,A+B,0
53,6,5,26,"A⊣A,B→B,A→B",OA,A' = !A | B,B' = B,11,11,sync,A+B,1
54,6,6,27,"A⊣A,B→B,A⊣B",AA,A' = A & !B,B' = !B,00,01,sync,A+B,0
54,6,6,27,"A⊣A,B→B,A⊣B",AA,A' = A & !B,B' = !B,01,00,sync,A+B,0
54,6,6,27,"A⊣A,B→B,A⊣B",AA,A' = A & !B,B' = !B,10,11,sync,A+B,0
54,6,6,27,"A⊣A,B→B,A⊣B",AA,A' = A & !B,B' = !B,11,00,sync,A+B,0
55,6,6,27,"A⊣A,B→B,A⊣B",OA,A' = A | !B,B' = !B,00,11,sync,A+B,0
55,6,6,27,"A⊣A,B→B,A⊣B",OA,A' = A | !B,B' = !B,01,00,sync,A+B,0
55,6,6,27,"A⊣A,B→B,A⊣B",OA,A' = A | !B,B' = !B,10,11,sync,A+B,0
55,6,6,27,"A⊣A,B→B,A⊣B",OA,A' = A | !B,B' = !B,11,10,sync,A+B,0
56,6,7,28,"A⊣A,B⊣B,A→B",AA,A' = !A & B,B' = !B,00,01,sync,A+B,0
56,6,7,28,"A⊣A,B⊣B,A→B",AA,A' = !A & B,B' = !B,01,10,sync,A+B,0
56,6,7,28,"A⊣A,B⊣B,A→B",AA,A' = !A & B,B' = !B,10,01,sync,A+B,0
56,6,7,28,"A⊣A,B⊣B,A→B",AA,A' = !A & B,B' = !B,11,00,sync,A+B,0
57,6,7,28,"A⊣A,B⊣B,A→B",OA,A' = !A | B,B' = !B,00,11,sync,A+B,0
57,6,7,28,"A⊣A,B⊣B,A→B",OA,A' = !A | B,B' = !B,01,10,sync,A+B,0
57,6,7,28,"A⊣A,B⊣B,A→B",OA,A' = !A | B,B' = !B,10,01,sync,A+B,0
57,6,7,28,"A⊣A,B⊣B,A→B",OA,A' = !A | B,B' = !B,11,10,sync,A+B,0
58,6,8,29,"A⊣A,B⊣B,A⊣B",AA,A' = !A & !B,B' = !B,00,11,sync,A+B,0
58,6,8,29,"A⊣A,B⊣B,A⊣B",AA,A' = !A & !B,B' = !B,01,00,sync,A+B,0
58,6,8,29,"A⊣A,B⊣B,A⊣B",AA,A' = !A & !B,B' = !B,10,01,sync,A+B,0
58,6,8,29,"A⊣A,B⊣B,A⊣B",AA,A' = !A & !B,B' = !B,11,00,sync,A+B,0
59,6,8,29,"A⊣A,B⊣B,A⊣B",OA,A' = !A | !B,B' = !B,00,11,sync,A+B,0
59,6,8,29,"A⊣A,B⊣B,A⊣B",OA,A' = !A | !B,B' = !B,01,10,sync,A+B,0
59,6,8,29,"A⊣A,B⊣B,A⊣B",OA,A' = !A | !B,B' = !B,10,11,sync,A+B,0
59,6,8,29,"A⊣A,B⊣B,A⊣B",OA,A' = !A | !B,B' = !B,11,00,sync,A+B,0
60,7,1,30,"A→A,B→B,A→B,B→A",AA,A' = A & B,B' = B & A,00,00,sync,A+B,1
60,7,1,30,"A→A,B→B,A→B,B→A",AA,A' = A & B,B' = B & A,01,00,sync,A+B,0
60,7,1,30,"A→A,B→B,A→B,B→A",AA,A' = A & B,B' = B & A,10,00,sync,A+B,0
60,7,1,30,"A→A,B→B,A→B,B→A",AA,A' = A & B,B' = B & A,11,11,sync,A+B,1
61,7,1,30,"A→A,B→B,A→B,B→A",OA,A' = A | B,B' = B & A,00,00,sync,A+B,1
61,7,1,30,"A→A,B→B,A→B,B→A",OA,A' = A | B,B' = B & A,01,10,sync,A+B,0
61,7,1,30,"A→A,B→B,A→B,B→A",OA,A' = A | B,B' = B & A,10,10,sync,A+B,1
